financial_id,issue_id,student_report,job_notes,created_at,student_reported_at
1,4,"Student reports struggling to cover rent and monthly bills.","Went to job fair",9/1/2025,9/29/2025
2,10,"Student says they are worried about paying for groceries and utilities.","Had a coffee chat",9/9/2025,9/28/2025
3,13,"Student reports falling behind on tuition payments this semester.","Went to job fair",9/9/2025,9/30/2025
4,25,"Student is concerned about not having enough money for textbooks and course materials.","Went to job fair",9/15/2025,9/30/2025
5,27,"Student reports stress about credit card debt and late fees.","Had a coffee chat",9/16/2025,11/5/2025
6,32,"Student says they need more income to help family with bills at home.","Applied to jobs",9/20/2025,9/27/2025
7,44,"Student reports feeling overwhelmed by overall financial responsibilities.","Went to job fair",10/8/2025,11/2/2025
8,58,"Student is worried about not being able to afford next semester’s housing.","Applied to jobs",10/15/2025,10/28/2025
9,69,"Student reports anxiety about not having enough savings to stay in school.","Had a coffee chat",10/25/2025,11/9/2025
10,74,"Student says unexpected expenses have made it hard to keep up with payments.","Went to job fair",10/28/2025,11/3/2025
11,89,"Student reports they are unsure how they will pay for basic living costs.","",11/6/2025,
12,99,"Student says they are worried about finances but not sure what options they have.","",11/14/2025,
13,104,"Student reports concern that lack of funds may force them to leave school.","",11/19/2025,
